text,label
Двигатель электрический,электро
Тип двигателя: электро,электро
Электромотор,электро
Работает от аккумуляторов,электро
Электрический привод,электро
Тип топлива: электричество,электро
Электро,электро
"Электродвигатель, 50 кВт",электро
Тип ДВС: электро,электро
Полностью электрический,электро
"Тип двигателя: Электро
Напряжение: 400 В
Ёмкость батареи: 60 кВтч",электро
Новый электрический погрузчик. Время работы 8 часов.,электро
Электричество,электро
Аккумулятор,электро
Батарея,электро
Электропривод,электро
Заряжается от сети,электро
Электромобиль,электро
Электрическая силовая установка,электро
Мотор на электричестве,электро
Тип топлива: электрическая энергия,электро
Работает от батареи,электро
Электродвигатель,электро
"Нет выхлопа, полностью электро",электро
Ёмкость аккумулятора 80 кВтч,электро
Электрический двигатель постоянного тока,электро
Зарядка через розетку,электро
Электроагрегат,электро
Тип: электро,электро
Электрическая тяга,электро
"Без ДВС, только электро",электро
Электромотор 100 кВт,электро
Питание от литий-ионных батарей,электро
