text,label
Двигатель дизельный,дизель
Тип двигателя: дизель,дизель
Дизельный двигатель Cummins,дизель
"Мощность: 250 л.с., тип двигателя - дизель",дизель
"ДВС: дизель, жидкостного охлаждения",дизель
"Дизель, 6 цилиндров, турбонаддув",дизель
Тип мотора: дизельный,дизель
Используется дизельное топливо,дизель
"Двигатель: дизель, соответствие Tier 3",дизель
Топливная система: дизельная,дизель
"Характеристики: Марка - Komatsu, Тип двигателя - Дизель, Мощность - 180 кВт",дизель
"Тип двигателя: Дизель
Модель: 6D107
Мощность: 147 кВт",дизель
Какой тип двигателя? Дизельный.,дизель
Уточните тип двигателя: дизель,дизель
"Продам харвестер. Двигатель дизельный, наработка 5000 м/ч. Гидравлика в норме.",дизель
После капитального ремонта. Дизель работает отлично. Цена договорная.,дизель
Дизель,дизель
Солярка,дизель
Работает на дизельном топливе,дизель
Мотор на солярке,дизель
Дизельный агрегат,дизель
Тип топлива — дизель,дизель
Двигатель — дизель,дизель
Силовая установка: дизель,дизель
Дизель с турбонаддувом,дизель
Используется солярка,дизель
Дизельный ДВС,дизель
Марка двигателя: Deutz (дизель),дизель
"Дизель, 4 цилиндра",дизель
Топливо: дизельное,дизель
Двигатель под солярку,дизель
Дизельная силовая установка,дизель
