text,label
Двигатель работает на этаноле,этанол
Тип двигателя: этанол,этанол
Этаноловый мотор,этанол
Топливо: этанол,этанол
Двигатель под этанол,этанол
"Этанол, биотопливо",этанол
"Тип двигателя: Этанол
Мощность: 110 л.с.",этанол
Этанол,этанол
Биоэтанол,этанол
E85,этанол
Топливо — этанол,этанол
Работает на биоэтаноле,этанол
Этаноловый двигатель,этанол
Мотор под E85,этанол
Двигатель для этанола,этанол
Биотопливо: этанол,этанол
Этанол вместо бензина,этанол
Тип топлива: биоэтанол,этанол
Этаноловая установка,этанол
Силовой агрегат под этанол,этанол
Этанол 100%,этанол
Двигатель FlexFuel (этанол),этанол
Этанол как топливо,этанол
Марка топлива: этанол,этанол
"Этанол, возобновляемое топливо",этанол
Двигатель на биоэтаноле,этанол
Этанол — альтернатива бензину,этанол
Топливная система под этанол,этанол
"Этанол, экологичное топливо",этанол
Этаноловый ДВС,этанол
