text,label
Двигатель бензиновый,бензин
Тип двигателя: бензин,бензин
Бензиновый мотор Honda,бензин
Работает на бензине АИ-95,бензин
Тип топлива: бензин,бензин
"Бензин, 4 цилиндра, карбюратор",бензин
Мотор: бензин,бензин
"Бензиновый двигатель, 1.6 л",бензин
Тип ДВС: бензин,бензин
Используется бензин,бензин
"Марка: УАЗ, Тип двигателя: Бензин, Объём: 2.7 л",бензин
"Тип двигателя: Бензин
Мощность: 128 л.с.
Экологический класс: Евро-4",бензин
Какой двигатель? Бензиновый.,бензин
Тип двигателя бензин?,бензин
"Лесовоз в отличном состоянии. Двигатель бензин, расход 18 л/100км.",бензин
Бензин,бензин
АИ-92,бензин
АИ-95,бензин
АИ-98,бензин
Работает на бензине,бензин
Бензиновый мотор,бензин
Тип топлива — бензин,бензин
Двигатель на бензине,бензин
Карбюраторный двигатель,бензин
Инжекторный мотор,бензин
Бензиновый ДВС,бензин
"Марка: ВАЗ, двигатель бензиновый",бензин
"Объём 2.0 л, бензин",бензин
"Бензин, 8 клапанов",бензин
Топливо: бензин АИ-95,бензин
Бензиновая силовая установка,бензин
