text,label
Двигатель дизельный,дизель
Тип двигателя: дизель,дизель
Дизельный двигатель,дизель
Дизель,дизель
Солярка,дизель
Работает на дизельном топливе,дизель
Мотор на солярке,дизель
Дизельный агрегат,дизель
Тип топлива — дизель,дизель
Двигатель — дизель,дизель
Силовая установка: дизель,дизель
Дизель с турбонаддувом,дизель
Используется солярка,дизель
Дизельный ДВС,дизель
Марка двигателя: Deutz (дизель),дизель
"Дизель, 4 цилиндра",дизель
Топливо: дизельное,дизель
Двигатель под солярку,дизель
Дизельная силовая установка,дизель
"Cummins дизель, 250 л.с.",дизель
"Komatsu дизель, 180 кВт",дизель
"6D107 дизель, 147 кВт",дизель
"Дизель, 6 цилиндров, турбонаддув",дизель
"ДВС: дизель, жидкостного охлаждения",дизель
"Дизель, соответствие Tier 3",дизель
Топливная система: дизельная,дизель
"Дизель, Common Rail",дизель
"Прямой впрыск, дизель",дизель
"Турбонаддув, дизель",дизель
"Мощность: 250 л.с., тип двигателя - дизель",дизель
Какой тип двигателя? Дизельный.,дизель
Уточните тип двигателя: дизель,дизель
"Продам харвестер. Двигатель дизельный, наработка 5000 м/ч.",дизель
После капитального ремонта. Дизель работает отлично.,дизель
"Характеристики: Марка - Komatsu, Тип двигателя - Дизель, Мощность - 180 кВт",дизель
"Тип двигателя: Дизель
Модель: 6D107
Мощность: 147 кВт",дизель
"Дизель, экономичный расход",дизель
"Дизель, низкие обороты",дизель
"Дизель, высокий крутящий момент",дизель
"Дизель, надежный",дизель
"Дизель, для тяжелой техники",дизель
"Дизель, промышленный",дизель
"Дизель, морской",дизель
"Дизель, судовой",дизель
"Дизель, генераторный",дизель
"Дизель, вспомогательный",дизель
"Дизель, основной двигатель",дизель
"Дизель, ведущий двигатель",дизель
"Дизель, вспомогательная силовая установка",дизель
"Дизель, двигатель тяги",дизель
"Дизель, силовой агрегат",дизель
"Дизель, двигатель внутреннего сгорания",дизель
"Дизель, топливная эффективность",дизель
"Дизель, экономия топлива",дизель
"Дизель, высокая мощность",дизель
"Дизель, высокий КПД",дизель
"Дизель, низкие эксплуатационные расходы",дизель
"Дизель, долгий срок службы",дизель
"Дизель, ремонтопригодный",дизель
"Дизель, простой в обслуживании",дизель
"Дизель, надежный запуск",дизель
"Дизель, холодный запуск",дизель
"Дизель, предпусковой подогрев",дизель
"Дизель, с топливным насосом высокого давления",дизель
"Дизель, с интеркулером",дизель
"Дизель, с турбокомпрессором",дизель
"Дизель, с системой EGR",дизель
"Дизель, с системой SCR",дизель
"Дизель, с сажевым фильтром",дизель
"Дизель, с системой AdBlue",дизель
"Дизель, с насос-форсунками",дизель
"Дизель, с распределительным ТНВД",дизель
"Дизель, с рядным ТНВД",дизель
"Дизель, с электронным управлением",дизель
"Дизель, с механическим управлением",дизель
"Дизель, с пневматическим управлением",дизель
"Дизель, с гидравлическим управлением",дизель
"Дизель, с электромагнитными форсунками",дизель
"Дизель, с пьезоэлектрическими форсунками",дизель
"Дизель, с топливной рампой",дизель
"Дизель, с системой впрыска",дизель
"Дизель, с системой охлаждения",дизель
"Дизель, с системой смазки",дизель
"Дизель, с системой впуска",дизель
"Дизель, с системой выпуска",дизель
"Дизель, с турбонаддувом и интеркулером",дизель
"Дизель, с турбонаддувом и охладителем масла",дизель
"Дизель, с турбонаддувом и EGR",дизель
"Дизель, с турбонаддувом и SCR",дизель
"Дизель, с турбонаддувом и сажевым фильтром",дизель
"Дизель, с турбонаддувом и AdBlue",дизель
"Дизель, с турбонаддувом, EGR и SCR",дизель
"Дизель, с турбонаддувом, EGR и сажевым фильтром",дизель
"Дизель, с турбонаддувом, EGR, SCR и AdBlue",дизель
"Дизель, с турбонаддувом, EGR, SCR, сажевым фильтром и AdBlue",дизель
Двигатель бензиновый,бензин
Тип двигателя: бензин,бензин
