text,label
Двигатель гибридный,гибридный
Тип двигателя: гибридный,гибридный
Гибридная силовая установка,гибридный
Комбинированный двигатель,гибридный
Гибрид: дизель + электро,гибридный
Тип топлива: гибрид,гибридный
Гибридный привод,гибридный
ДВС + электромотор,гибридный
Тип ДВС: гибридный,гибридный
Система гибридная,гибридный
"Тип двигателя: Гибридный
Дизель: 150 л.с.
Электромотор: 50 кВт",гибридный
Продам гибридный экскаватор. Экономия топлива 30%.,гибридный
Гибрид,гибридный
Дизель-электро,гибридный
Бензин + электро,гибридный
Комбинированная установка,гибридный
Гибридная система,гибридный
Два источника энергии,гибридный
Электромотор и ДВС,гибридный
Гибридная тяга,гибридный
Тип: гибрид,гибридный
Силовой агрегат: гибрид,гибридный
Гибридный двигатель,гибридный
Работает на топливе и электричестве,гибридный
Экономичный гибрид,гибридный
Гибридная силовая схема,гибридный
ДВС + аккумулятор,гибридный
Гибридная установка,гибридный
Тип топлива: комбинированный,гибридный
Гибрид: бензин + электро,гибридный
Система рекуперации энергии,гибридный
Гибрид с турбонаддувом,гибридный
