text,label
Двигатель дизельный,дизель
Тип двигателя: дизель,дизель
Дизельный двигатель Cummins,дизель
"Мощность: 250 л.с., тип двигателя - дизель",дизель
"ДВС: дизель, жидкостного охлаждения",дизель
"Дизель, 6 цилиндров, турбонаддув",дизель
Тип мотора: дизельный,дизель
Используется дизельное топливо,дизель
"Двигатель: дизель, соответствие Tier 3",дизель
Топливная система: дизельная,дизель
"Характеристики: Марка - Komatsu, Тип двигателя - Дизель, Мощность - 180 кВт",дизель
"Тип двигателя: Дизель
Модель: 6D107
Мощность: 147 кВт",дизель
Какой тип двигателя? Дизельный.,дизель
Уточните тип двигателя: дизель,дизель
"Продам харвестер. Двигатель дизельный, наработка 5000 м/ч. Гидравлика в норме.",дизель
После капитального ремонта. Дизель работает отлично. Цена договорная.,дизель
Двигатель бензиновый,бензин
Тип двигателя: бензин,бензин
Бензиновый мотор Honda,бензин
Работает на бензине АИ-95,бензин
Тип топлива: бензин,бензин
"Бензин, 4 цилиндра, карбюратор",бензин
Мотор: бензин,бензин
"Бензиновый двигатель, 1.6 л",бензин
Тип ДВС: бензин,бензин
Используется бензин,бензин
"Марка: УАЗ, Тип двигателя: Бензин, Объём: 2.7 л",бензин
"Тип двигателя: Бензин
Мощность: 128 л.с.
Экологический класс: Евро-4",бензин
Какой двигатель? Бензиновый.,бензин
Тип двигателя бензин?,бензин
"Лесовоз в отличном состоянии. Двигатель бензин, расход 18 л/100км.",бензин
Двигатель газовый,газ
Тип двигателя: газ,газ
Работает на сжиженном газе,газ
Газовый мотор,газ
Тип топлива: газ,газ
Газ/бензин,газ
Двигатель: газ,газ
Газовое оборудование установлено,газ
Тип ДВС: газ,газ
Используется природный газ,газ
"Тип двигателя: Газ
Модель: ГАЗ-560
Мощность: 100 л.с.",газ
Форвардер с газовым двигателем. Пробег 12000 км.,газ
Двигатель электрический,электро
Тип двигателя: электро,электро
Электромотор,электро
Работает от аккумуляторов,электро
Электрический привод,электро
Тип топлива: электричество,электро
Электро,электро
"Электродвигатель, 50 кВт",электро
Тип ДВС: электро,электро
Полностью электрический,электро
"Тип двигателя: Электро
Напряжение: 400 В
Ёмкость батареи: 60 кВтч",электро
Новый электрический погрузчик. Время работы 8 часов.,электро
Двигатель гибридный,гибридный
Тип двигателя: гибридный,гибридный
Гибридная силовая установка,гибридный
Комбинированный двигатель,гибридный
Гибрид: дизель + электро,гибридный
Тип топлива: гибрид,гибридный
Гибридный привод,гибридный
ДВС + электромотор,гибридный
Тип ДВС: гибридный,гибридный
Система гибридная,гибридный
"Тип двигателя: Гибридный
Дизель: 150 л.с.
Электромотор: 50 кВт",гибридный
Продам гибридный экскаватор. Экономия топлива 30%.,гибридный
Двигатель работает на этаноле,этанол
Тип двигателя: этанол,этанол
Этаноловый мотор,этанол
Топливо: этанол,этанол
Двигатель под этанол,этанол
"Этанол, биотопливо",этанол
"Тип двигателя: Этанол
Мощность: 110 л.с.",этанол
Экскаватор после пожара,неизвестно
Продам харвестер без двигателя,неизвестно
Лесовоз на запчасти,неизвестно
Форвардер в хорошем состоянии,неизвестно
Кабина от комбайна,неизвестно
Гидравлическая стрела в сборке,неизвестно
Топливный бак 320 литров,неизвестно
Мосты от трактора,неизвестно
Коробка передач ZF,неизвестно
Рулевая колонка,неизвестно
Цена договорная,неизвестно
Срочно! Звоните!,неизвестно
Возможен торг,неизвестно
Без торга,неизвестно
Только серьёзным покупателям,неизвестно
"Джойстик с четырьмя переключателями
Система отопления
Универсальный ключ
Радио с CD",неизвестно
"Солнцезащитные шторки
Ремень безопасности
Галогеновое освещение
Светодиодный маячок",неизвестно
"Стрела 6.2 м
Рукоять 3.05 м
Траки 600 мм
Ходовая тележка",неизвестно
Двигатель Tier 2,неизвестно
"Модель: Соболь 2752
Год: 2023
Цвет: белый
Пробег: 37738 км",неизвестно
"Характеристики техники:
Марка: John Deere
Год выпуска: 2020
Наработка: 4500 м/ч",неизвестно
После капитального ремонта,неизвестно
В отличном состоянии,неизвестно
"Не битый, не крашеный",неизвестно
Один владелец,неизвестно
