text,label
Двигатель газовый,газ
Тип двигателя: газ,газ
Работает на сжиженном газе,газ
Газовый мотор,газ
Тип топлива: газ,газ
Газ/бензин,газ
Двигатель: газ,газ
Газовое оборудование установлено,газ
Тип ДВС: газ,газ
Используется природный газ,газ
"Тип двигателя: Газ
Модель: ГАЗ-560
Мощность: 100 л.с.",газ
Форвардер с газовым двигателем. Пробег 12000 км.,газ
Газ,газ
ГБО,газ
Метан,газ
Пропан,газ
Сжиженный газ,газ
Работает на метане,газ
Двигатель с ГБО,газ
Газовая установка,газ
Топливо — пропан,газ
Природный газ,газ
Газовый ДВС,газ
Мотор на метане,газ
Газ/бензиновая система,газ
Установлено газобаллонное оборудование,газ
Работает на пропане,газ
Газовая силовая установка,газ
Тип топлива: метан,газ
Газовый двигатель,газ
Система ГБО 4 поколения,газ
Газ вместо бензина,газ
Двигатель под газ,газ
