text,label
Продам каток 2016 г.в. Двигатель: Ellipsis. 5000 м/ч. Кабина целая. Комплект навесного оборудования. Цена: По запросу. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Спецпредложение! Ellipsis на погрузчик. 2019, 7500 м/ч. Кабина целая. Цена договорная.",дизель
Продам каток. 2019 года выпуска. Наработка: 8000 моточасов. Ellipsis. Гидравлика в норме. Сертификат соответствия. Цена: По запросу. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Только до конца месяца! Ellipsis на лесовоз, 2017, 8000 м/ч. В отличном состоянии. Сертификат соответствия. До 10 млн.",дизель
"Продается автокран в отличном состоянии. Ellipsis. Год: 2017, м/ч: 6000. Комплект документации. 15 млн.",дизель
"Не битая, не крашеная. грейдер, 2015. Ellipsis. Гидравлика в норме. Возможен обмен. По запросу.",дизель
"Двигатель Ellipsis прошел ТО. трактор 2018 года, наработка 2000 м/ч. Кардан в норме.",дизель
"После капитального ремонта. вилочный погрузчик, Ellipsis. 2023, 5000 м/ч. Кабина целая. Подходит для аренды. От 8 млн руб..",дизель
"Капитальный ремонт. Ellipsis на грейдер. 2023, 4200 м/ч. Без аварий. Запчасти в наличии. Цена договорная.",дизель
"После капитального ремонта. форвардер, Ellipsis. 2020, 6000 м/ч. Не требует вложений. Возможен обмен. От 8 млн руб..",дизель
"После капитального ремонта. Ellipsis. самосвал, 7500 м/ч. Кабина целая. Цена договорная. Возможна доставка. Срочно!",дизель
"Запчасти в наличии. самосвал с двигателем Ellipsis. 2020, 2000 м/ч. Без аварий. По запросу.",дизель
"Продается грейдер в отличном состоянии. Ellipsis. Год: 2016, м/ч: 7000. Сертификат соответствия. Цена договорная.",дизель
"Услуги по эксплуатации погрузчик с двигателем Ellipsis. 2019, 7000 м/ч. Ходовая в сборке. Подробности: +7 (XXX) XXX-XX-XX.",дизель
"Двигатель Ellipsis — надежный, проверенный временем. Машина: мини-погрузчик, год: 2022. Кабина целая.",дизель
"Сравните: Ellipsis vs аналоги — только у нас. каток, 2024, 3000 м/ч. Работает без нареканий.",дизель
"Услуги по эксплуатации лесовоз с двигателем Ellipsis. 2019, 7000 м/ч. Работает без нареканий. Подробности: +7 (XXX) XXX-XX-XX.",дизель
"Запчасти в наличии. фрезер с двигателем Ellipsis. 2017, 5100 м/ч. Без аварий. Скидка при покупке.",дизель
Продам лесовоз 2020 г.в. Двигатель: Ellipsis. 1000 м/ч. Без аварий. Возможен обмен. Цена: 12 500 000 руб.. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Только у нас: автокран с двигателем Ellipsis. 2017, 4200 м/ч. После ТО. Обучение оператора. 15 млн.",дизель
"После капитального ремонта. Ellipsis. комбайн, 3500 м/ч. Сервисная книжка есть. Цена договорная. Возможна доставка. Срочно!",дизель
Срочная продажа! фрезер 2020 г.в. Ellipsis. После ТО. Комплект навесного оборудования. Цена договорная. Срочно! Звонить до 21:00.,дизель
"Спецпредложение! Ellipsis на трактор. 2021, 3000 м/ч. Кузов без коррозии. По запросу.",дизель
"Капитальный ремонт. Ellipsis на автокран. 2021, 6000 м/ч. После ТО. Комплект навесного оборудования. Скидка при покупке.",дизель
"Посетите нас на выставке! вилочный погрузчик с Ellipsis. 2020, 10000 м/ч. Ремонт недавно. Сертификат соответствия. До 10 млн.",дизель
"Услуги по эксплуатации комбайн с двигателем Ellipsis. 2024, 4200 м/ч. Работает без нареканий. Подробности: +7 (XXX) XXX-XX-XX.",дизель
Срочная продажа! автокран 2017 г.в. Ellipsis. После ТО. Комплект навесного оборудования. Цена договорная. Срочно! Звонить до 21:00.,дизель
"Двигатель Ellipsis прошел ТО. экскаватор 2015 года, наработка 2000 м/ч. Не требует вложений.",дизель
"После ТО. фрезер 2020, Ellipsis, 7000 м/ч. Кабина целая. Комплект навесного оборудования. Скидка при покупке.",дизель
"Продается мини-погрузчик в отличном состоянии. Ellipsis. Год: 2020, м/ч: 7500. Полный сервис. Цена договорная.",дизель
"Двигатель Ellipsis — надежный, проверенный временем. Машина: экскаватор-погрузчик, год: 2021. После ТО.",дизель
"Собственник. трактор 2023 г. Ellipsis. Кабина целая. Доставка по РФ. Гидравлика, стрела, кабина — всё в рабочем состоянии. 12 500 000 руб..",дизель
"Посетите нас на выставке! харвестер с Ellipsis. 2016, 7500 м/ч. В отличном состоянии. Гарантия 3 месяца. От 8 млн руб..",дизель
Продам лесовоз 2017 г.в. Двигатель: Ellipsis. 5000 м/ч. Ремонт недавно. Подходит для аренды. Цена: 12 500 000 руб.. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Собственник. каток 2016 г. Ellipsis. Кузов без коррозии. Сертификат соответствия. Гидравлика, стрела, кабина — всё в рабочем состоянии. По запросу.",дизель
"Посетите нас на выставке! каток с Ellipsis. 2020, 6000 м/ч. Ходовая в сборке. Доставка по РФ. Скидка при покупке.",дизель
Продаю бульдозер 2021 года выпуска. Двигатель: Ellipsis. Наработка 2000 моточасов. Ходовая в сборке. Подходит для аренды. Цена: От 8 млн руб.. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Продается автогрейдер в отличном состоянии. Ellipsis. Год: 2017, м/ч: 7500. Сертификат соответствия. Цена договорная.",дизель
"Техника в отличном состоянии. экскаватор, 2024. Ellipsis. Доставка по РФ. Не битая, не крашеная. Один владелец. Цена договорная. Контакт: +7 (XXX) XXX-XX-XX.",дизель
"Посетите нас на выставке! трактор с Ellipsis. 2022, 7000 м/ч. Не требует вложений. Комплект документации. До 10 млн.",дизель
Продам автогрейдер. 2017 года выпуска. Наработка: 5100 моточасов. Ellipsis. Гидравлика в норме. Гарантия 3 месяца. Цена: По запросу. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
Срочная продажа! харвестер 2015 г.в. Ellipsis. Ходовая в сборке. Доставка по РФ. Договоримся. Срочно! Звонить до 21:00.,дизель
"Техника в отличном состоянии. каток, 2019. Ellipsis. Гарантия 3 месяца. Не битая, не крашеная. Один владелец. Цена договорная. Контакт: +7 (XXX) XXX-XX-XX.",дизель
"После капитального ремонта. Ellipsis. самосвал, 5000 м/ч. Гидравлика в норме. По запросу. Возможна доставка. Срочно!",дизель
"Техника в отличном состоянии. форвардер, 2019. Ellipsis. Обучение оператора. Не битая, не крашеная. Один владелец. До 10 млн. Контакт: +7 (XXX) XXX-XX-XX.",дизель
Продам автокран. 2020 года выпуска. Наработка: 6000 моточасов. Ellipsis. После ТО. Возможен обмен. Цена: От 8 млн руб.. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
Продам бульдозер. 2019 года выпуска. Наработка: 10000 моточасов. Ellipsis. В отличном состоянии. Обучение оператора. Цена: 12 500 000 руб.. Торг уместен. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Техника бульдозер 2019 г., двигатель Ellipsis. 5100 моточасов. Без аварий. Подходит для аренды.",дизель
"Только у нас: каток с двигателем Ellipsis. 2024, 2000 м/ч. Кабина целая. Комплект документации. 12 500 000 руб..",дизель
"Собственник. каток 2021 г. Ellipsis. Возможен обмен. Гидравлика, стрела, кабина — всё в рабочем состоянии. От 8 млн руб..",дизель
Продаю трактор 2016 года выпуска. Двигатель: Ellipsis. Наработка 10000 моточасов. Гидравлика в норме. Сертификат соответствия. Цена: По запросу. Звоните: +7 (XXX) XXX-XX-XX.,дизель
"Спецпредложение! Ellipsis на фрезер. 2018, 1000 м/ч. Кабина целая. 12 500 000 руб..",дизель
Срочная продажа! экскаватор-погрузчик 2021 г.в. Ellipsis. После ТО. Возможен обмен. Скидка при покупке. Срочно! Звонить до 21:00.,дизель
"Капитальный ремонт. Ellipsis на лесовоз. 2021, 6000 м/ч. В отличном состоянии. Подходит для аренды. 12 500 000 руб..",дизель
Срочная продажа! харвестер 2020 г.в. Ellipsis. Кабина целая. Возможен обмен. От 8 млн руб.. Срочно! Звонить до 21:00.,дизель
"После капитального ремонта. экскаватор, Ellipsis. 2019, 10000 м/ч. Гидравлика в норме. Обучение оператора. 12 500 000 руб..",дизель
"Техника мини-погрузчик 2023 г., двигатель Ellipsis. 4200 моточасов. Кабина целая. Возможен обмен.",дизель
"Техника в отличном состоянии. комбайн, 2023. Ellipsis. Обучение оператора. Не битая, не крашеная. Один владелец. 12 500 000 руб.. Контакт: +7 (XXX) XXX-XX-XX.",дизель
"экскаватор-погрузчик в наличии. 2017, 8000 м/ч. Ellipsis. Кабина целая. Обучение оператора. Звоните прямо сейчас!",дизель
"Только до конца месяца! Ellipsis на трактор, 2024, 1000 м/ч. Кардан в норме. Запчасти в наличии. 15 млн.",дизель
"Техника в отличном состоянии. форвардер, 2016. Ellipsis. Комплект документации. Не битая, не крашеная. Один владелец. 15 млн. Контакт: +7 (XXX) XXX-XX-XX.",дизель
"Доставка по РФ. форвардер, Ellipsis, 2019, 4000 м/ч. Сервисная книжка есть. Обучение оператора. Цена договорная.",дизель
"Спецпредложение! Ellipsis на грейдер. 2021, 7000 м/ч. Кардан в норме. Договоримся.",дизель
"Услуги по эксплуатации погрузчик с двигателем Ellipsis. 2017, 3500 м/ч. После ТО. Подробности: +7 (XXX) XXX-XX-XX.",дизель
"Двигатель Ellipsis — надежный, проверенный временем. Машина: каток, год: 2023. Ремонт недавно.",дизель
"Посетите нас на выставке! экскаватор с Ellipsis. 2016, 1000 м/ч. Не требует вложений. Комплект документации. От 8 млн руб..",дизель
"форвардер в наличии. 2017, 3000 м/ч. Ellipsis. Работает без нареканий. Полный сервис. Звоните прямо сейчас!",дизель
"После ТО. трактор 2017, Ellipsis, 10000 м/ч. Работает без нареканий. Комплект навесного оборудования. 15 млн.",дизель
"Двигатель: Ellipsis. Машина: харвестер. Год: 2023, наработка: 1000. Кузов без коррозии.",дизель
"Сравните: Ellipsis vs аналоги — только у нас. грейдер, 2022, 5000 м/ч. Гидравлика в норме.",дизель
"Только у нас: автогрейдер с двигателем Ellipsis. 2016, 7500 м/ч. Кабина целая. Подходит для аренды. От 8 млн руб..",дизель
Срочная продажа! автокран 2021 г.в. Ellipsis. Кузов без коррозии. Доставка по РФ. От 8 млн руб.. Срочно! Звонить до 21:00.,дизель
"Только у нас: самосвал с двигателем Ellipsis. 2015, 5100 м/ч. Кузов без коррозии. Гарантия 3 месяца. 15 млн.",дизель
"Доставка по РФ. автогрейдер, Ellipsis, 2018, 3000 м/ч. Кузов без коррозии. Запчасти в наличии. От 8 млн руб..",дизель
"Собственник. комбайн 2022 г. Ellipsis. Сервисная книжка есть. Подходит для аренды. Гидравлика, стрела, кабина — всё в рабочем состоянии. Скидка при покупке.",дизель
"Только до конца месяца! Ellipsis на грейдер, 2015, 3500 м/ч. После ТО. Запчасти в наличии. От 8 млн руб..",дизель
"Продается каток в отличном состоянии. Ellipsis. Год: 2021, м/ч: 3000. Гарантия 3 месяца. По запросу.",дизель
"Техника лесовоз 2022 г., двигатель Ellipsis. 3500 моточасов. Кабина целая. Сертификат соответствия.",дизель
"Аренда фрезер. Ellipsis, 2021, 4000 м/ч. Кузов без коррозии. Полный сервис. Цена: По запросу.",дизель
"Услуги по эксплуатации харвестер с двигателем Ellipsis. 2015, 7500 м/ч. Кардан в норме. Подробности: +7 (XXX) XXX-XX-XX.",дизель
"Услуги по эксплуатации автокран с двигателем Ellipsis. 2019, 6000 м/ч. Без аварий. Подробности: +7 (XXX) XXX-XX-XX.",дизель
"В наличии: фрезер 2024, 7000 м/ч. Ellipsis. Ходовая в сборке. Подходит для аренды. Звоните прямо сейчас!",дизель
"Запчасти в наличии. комбайн с двигателем Ellipsis. 2024, 5100 м/ч. После ТО. По запросу.",дизель
